用户1:你看过《三体》吗?,,,,
用户2：说起来我可是从小看着他的小说长大的。金庸的文笔实在是太好了，不愧是剑桥大学的博士。,"金庸,简介,金庸,原名查良镛,生于1924年3月10日 Louis Cha Leung Yung浙江海宁人 华人最知名的武侠小说作家、及新闻学家、企业家、政治评论家、社会活动家，中国作家协会名誉副主席，《中华人民共和国香港特别行政区基本法》主要起草人之一、香港最高荣衔“大紫荆勋章” 获得者、华人作家首富。英国剑桥大学历史博士. 他在1948年移居香港，是香港明报创办人，并着有“飞雪连天射白鹿，笑书神侠倚碧鸳”等14部武侠小说.博士金庸小说深受欢迎，不少文坛才子和读者都提笔撰写书评，形成「金学」研究的风潮。被誉为武侠小说作家的“泰斗”，更有“金迷”们尊称其为“金大侠”或“查大侠”，亦被喻为“香港四大才子”之一。 金庸亦是英国剑桥大学历史博士,香港新闻文艺界的杰出创业者及评论家，以及著名的社会活动家。",,,
用户1：没错，他的小说总是能够引人入胜。说起来，你最喜欢金庸的哪本小说呢？,,,,
用户2：金庸先生的每部作品几乎都是经典，不过我最喜欢他写的《天龙八部》。,"金庸,标签,经典","金庸,作品,天龙八部",,
用户1：这确实是金庸武侠的巅峰之作。里面的人物塑造都十分成功。,,,,
用户2：那是自然，这本书在豆瓣上评分高达9.1分，参与评分的人数更是达到了116755人。,"天龙八部,信息,豆瓣评分9.1分","天龙八部,信息,豆瓣评分人数116755人",,
用户1：单论武侠小说这块，中国恐怕无人能出其左右了吧。,"金庸,标签,武侠","金庸,标签,小说",,
用户2：倒也不见得，在我看来，古龙大师也是一位十分出众的武侠小说泰斗。,"古龙,标签,武侠","古龙,标签,小说",,
用户1：我不太了解古龙，他有什么能耳熟能详的作品吗。,,,,
用户2：《三少爷的剑》、《陆小凤传奇》、《小李飞刀》等等都是这位大师的作品。,"古龙,作品,三少爷的剑","古龙,作品,陆小凤传奇","古龙,作品,小李飞刀",
用户1：原来这些经典都出自这位大师，涨知识了。,,,,
用户2：没错，这些大师都是为中国武侠小说做出巨大贡献的人，古龙、金庸、梁羽生更是并称为中国武侠小说三大宗师。,"古龙,简介,古龙，原名熊耀华，著名武侠小说家，新派武侠小说泰斗和宗师。他在1969年创作了一部先有剧本后有小说的武林奇书《萧十一郎》，赢得读者的广泛赞赏。古龙与金庸、梁羽生并称为中国武侠小说三大宗师。他的武侠小说创作理念是“求新求变”，不受传统拘束，将中外经典镕铸一炉，他为“武侠美学”理念的形成与“武侠文化”的推广作出了巨大贡献。古龙为人豪气干云，侠骨盖世，才华惊人，他以丰富无比的创作力，留下了70多部精彩绝伦、风行天下的武侠巨作，影响巨大，开创了近代武侠小说新纪元，将武侠文学推上了一个新的高峰。","梁羽生,标签,武侠","梁羽生,标签,小说",
&金庸,,,,
